time_s,time_h,C_max,C_center,C_surface,R_m
105180.00000000,29.216666666667,0.24471026509,0.24471026509,0.0620515052858,0.0120159940741
105240.00000000,29.233333333333,0.244562517292,0.244562517292,0.0620510748642,0.0120154992593
105300.00000000,29.250000000000,0.24441501727,0.24441501727,0.0620488912916,0.012015
105360.00000000,29.266666666667,0.244267764428,0.244267764428,0.0620447852355,0.0120145007407
105420.00000000,29.283333333333,0.24412075817,0.24412075817,0.0620386002574,0.0120140059259
105480.00000000,29.300000000000,0.243973997901,0.243973997901,0.0620301910774,0.01201352
105540.00000000,29.316666666667,0.243827483029,0.243827483029,0.062019422173,0.0120130474074
105600.00000000,29.333333333333,0.243681212965,0.243681212965,0.0620061666358,0.0120125925926
105660.00000000,29.350000000000,0.243535187121,0.243535187121,0.0619903052279,0.01201216
105720.00000000,29.366666666667,0.243389404912,0.243389404912,0.0619717255977,0.0120117540741
105780.00000000,29.383333333333,0.243243865752,0.243243865752,0.0619503216226,0.0120113792593
105840.00000000,29.400000000000,0.243098569061,0.243098569061,0.061925992855,0.01201104
105900.00000000,29.416666666667,0.242953514257,0.242953514257,0.0618986440531,0.0120107407407
105960.00000000,29.433333333333,0.242808700765,0.242808700765,0.0618681847818,0.0120104859259
106020.00000000,29.450000000000,0.242664128006,0.242664128006,0.0618345290733,0.01201028
106080.00000000,29.466666666667,0.242519795407,0.242519795407,0.0617975951364,0.0120101274074
106140.00000000,29.483333333333,0.242375702396,0.242375702396,0.0617573051092,0.0120100325926
106200.00000000,29.500000000000,0.242231848403,0.242231848403,0.0617135848488,0.01201
106260.00000000,29.516666666667,0.242088232856,0.242088232856,0.0616733505215,0.01201
106320.00000000,29.533333333333,0.241944855179,0.241944855179,0.06163865992,0.01201
106380.00000000,29.550000000000,0.241801714801,0.241801714801,0.0616070607644,0.01201
106440.00000000,29.566666666667,0.241658811153,0.241658811153,0.0615775653267,0.01201
106500.00000000,29.583333333333,0.241516143668,0.241516143668,0.0615496266215,0.01201
106560.00000000,29.600000000000,0.241373711781,0.241373711781,0.061522899297,0.01201
106620.00000000,29.616666666667,0.24123151493,0.24123151493,0.0614971476904,0.01201
106680.00000000,29.633333333333,0.241089552555,0.241089552555,0.0614722023124,0.01201
106740.00000000,29.650000000000,0.240947824096,0.240947824096,0.0614479365009,0.01201
106800.00000000,29.666666666667,0.240806328997,0.240806328997,0.0614242527745,0.01201
106860.00000000,29.683333333333,0.240665066703,0.240665066703,0.0614010743334,0.01201
106920.00000000,29.700000000000,0.240524036661,0.240524036661,0.0613783395032,0.01201
106980.00000000,29.716666666667,0.240383238318,0.240383238318,0.061355997959,0.01201
